label,content
Bachelors Degree,A
Bachelors Degree,B
Bachelors Degree,S
Bachelors Degree,BS
Bachelors Degree,BT
Bachelors Degree,BW
Bachelors Degree,CS
Bachelors Degree,DM
Bachelors Degree,ENE
Bachelors Degree,ZBM
Bachelors Degree,ZBT
Bachelors Degree,BS/P
Bachelors Degree,BSAC
Bachelors Degree,BSAD
Bachelors Degree,BSFS
Associate Degree,AASTS
Associate Degree,AASVT
Associate Degree,AASWE
Associate Degree,AAUCT
Associate Degree,APPIT
Associate Degree,AS.DS
Associate Degree,ASCHE
Associate Degree,AS-ED
Associate Degree,ASLAS
Associate Degree,ASMLT
Associate Degree,ASSOC
Bachelors Degree,BSB/PJ
Bachelors Degree,BSB/PM
Bachelors Degree,BSB/PS
Bachelors Degree,BSB/RF
Bachelors Degree,BSB/RM
Masters Degree,M.A.E.
Masters Degree,M.A.S.
Masters Degree,M.A.T.
Masters Degree,M.ACC.
Masters Degree,M.ARCH
Masters Degree,M.B.A.
Masters Degree,M.B.E.
Masters Degree,M.B.ED
Masters Degree,M.C.E.
Masters Degree,M.C.P.
Masters Degree,M.D.S.
Associate Degree,AATI&LA
Associate Degree,AATI&TM
Associate Degree,AATM&NT
Associate Degree,AATS&ET
Associate Degree,ADN/AAS
Associate Degree,AS.MATH
Associate Degree,ATA CIS
Associate Degree,ATA CST
Associate Degree,ATA ECE
Associate Degree,ATA OBT
Associate Degree,EET.AAS
Associate Degree,ENGLISH
Associate Degree,GEOLOGY
Associate Degree,HISTORY
Associate Degree,NON MAT
Associate Degree,PHYSICS
PostBach Certificate,SPANISH
PostBach Certificate,ELDER LAW
